	xx	内容		状況	xx	1200にある	
500	001	少しお時間をください。	1	★	请给我一点时间。	毎日	をください
500	002	後ほどご連絡します。	1	★	稍后联系您。	毎日	ご連絡します
500	003	相談があります。	1	★★	我有件事想商量。	毎日	があります
500	004	教えていただけますか。	1	★★	可以告诉我吗？	毎日	いただけますか
500	005	もう少しゆっくりお願いします。	1	★★	请说慢一点。	毎日	お願いします
500	006	聞き取れませんでした。	2	★	没有听清。	毎日	取れ
500	007	画面は見えていますか。	1	★	能看到画面吗？	毎日	
500	008	こちらをご覧ください。	1	★	请看这里。	毎日	ご覧ください
500	009	認識を合わせましょう。	1	★	我们统一一下认识。	毎日	合わせ
500	010	今のところ問題ありません。	1	★★	目前没有问题。	毎日	
500	011	一旦持ち帰ります。	1	★	我先带回去确认。	毎日	一旦
500	012	優先順位を確認します。	1	★★	确认优先级。	毎日	を確認します
500	013	会議を始めます。	1	★★	开始开会。	毎日	
500	014	会議を終了します。	1	★★	会议结束。	毎日	
500	015	本日の議題です。	1	★★	今天的议题是……	毎日	
500	016	私もそう思います。	1	★★	我也这么认为。	毎日	
500	017	少し違うと思います。	1	★★	我觉得有点不同。	毎日	違う、違い、間違い、相違、勘違い
500	018	こちらでよろしいでしょうか。➡これで	1	★	这样可以吗？	毎日	よろしいでしょうか
500	019	少々お待ちいただけますか。	1	★★	请稍等一下。	毎日	いただけますか
500	020	お待たせしました。	1	★★	让您久等了。	毎日	
500	021	確認できました。	1	★★	已经确认到了。	毎日	できました
500	022	確認できませんでした。	1	★★	没有确认到。	毎日	
500	023	認識違いでした。	1	★	是我理解错了。	毎日	違う、違い、間違い、相違、勘違い
500	024	勘違いしていました。	1	★	我误会了。	毎日	違う、違い、間違い、相違、勘違い
500	025	結論から申し上げます。	1	★★	先说结论。	毎日	申し上げます
500	026	引き続き対応します。	1	★★	继续处理。	毎日	引き続き
500	027	少し相談したいことがあります。	1	★★	有件事想商量。	職場	があります
500	028	認識を合わせたいです。	1	★	想统一一下理解。	職場	合わせ
500	029	こちらの認識で合っていますか。	1	★	我们的理解对吗？	職場	合っていますか
500	030	経緯をご説明します。	1	★★	我说明一下经过。	職場	説明します
500	031	この対応で問題ありませんか。	1	★★	这样处理可以吗？	職場	問題ありません
500	032	急ぎでしょうか。	2	★	这件事急吗？	職場	急ぎ、緊急、至急、応急、急いで、急に
500	033	本日中に対応します。	1	★★	今天之内处理。	職場	
500	034	少し遅れそうです。	1	★★	可能会稍微晚一点。	職場	遅い、遅れる、遅延
500	035	予定どおり進んでいます。	1	★★	按计划进行。	職場	
500	036	少し遅れています。	1	★★	稍微落后了。	職場	遅い、遅れる、遅延
500	037	担当を変更します。	1	★	更换负责人。	職場	
500	038	現在対応中です。	1	★★	目前正在处理。	職場	
500	039	問題なく動いています。（はたらいて）	1	★★	运行正常。	職場	
500	040	現象を再現できました。（げんしょう）	1	★★	复现成功。	職場	できました
500	041	原因が判明しました。	1	★★	原因已查明。	職場	
500	042	原因はまだ不明です。	1	★★	原因尚未查明。	職場	
500	043	設定に問題がありました。	1	★★	设定有问题。	職場	
500	044	権限が不足しています。	1	★★	权限不足。	職場	
500	045	一度試してみます。	1	★	先试一下。	職場	
500	046	レビューありがとうございました。	1	★★	感谢Review。	職場	
500	047	コメントを反映しました。	1	★	已反映意见。	職場	
500	048	議事録を共有します。	1	★★	共享会议纪要。	職場	
500	049	議事録をご確認ください。	1	★★	请确认会议纪要。	職場	ご確認ください
500	050	次回までの宿題です。	1	★	这是下次会议前的任务。	職場	
500	051	次回までに確認します。	1	★★	下次之前确认。	職場	
500	052	対応方針を決めましょう。	1	★★	决定处理方针吧。	職場	
500	053	念のためバックアップを取得します。	1	★★	保险起见先备份。	職場	
500	054	Transportを作成しました。	1	★★	已创建Transport。	職場	
500	055	Transportをリリースしました。	1	★★	已释放Transport。	職場	
500	056	Transportを取り込みます。	1	★	导入Transport。	職場	
500	057	依頼を受けました。	1	★★	已收到请求。	職場	
500	058	別案をご提案します。(べつあん)	1	★	提出另一个方案。	職場	
500	059	伝票は登録されています。	1	★★	凭证已经登记。	SAP・IT	
500	060	伝票が見つかりません。	1	★★	没有找到凭证。	SAP・IT	
500	061	会計期間はオープンです。	1	★★	会计期间已开放。	SAP・IT	
500	062	会計期間がクローズされています。	1	★★	会计期间已关闭。	SAP・IT	
500	063	為替レートを確認します。（かわせ）	1	★	确认汇率。	SAP・IT	を確認します
500	064	IMG設定を確認します。	1	★★	确认IMG设定。	SAP・IT	を確認します
500	065	権限を付与してください。	1	★★	请赋予权限。	SAP・IT	
